nct_id,brief_title,official_title,study_type,phases,overall_status,start_date,completion_date,conditions,interventions,lead_sponsor,matched_queries,source_url
NCT05609201,PRospective Evaluation of Interstitial Lung DIsease Progression With Quantitative CT,PRospective Evaluation of Interstitial Lung DIsease Progression With Quantitative CT,OBSERVATIONAL,,UNKNOWN,2023-06-01,2024-10-31,Interstitial Lung Disease,DIAGNOSTIC_TEST: HRCT Thorax; DEVICE: Glycocheck Endothelial Glycocalyx Assessment; DIAGNOSTIC_TEST: Blood biomarkers; DIAGNOSTIC_TEST: Peripheral leucocyte telomere length; DIAGNOSTIC_TEST: Pulmonary function testing; DIAGNOSTIC_TEST: Patient reported outcome measures,University of Exeter,PF-ILD,https://clinicaltrials.gov/study/NCT05609201
NCT05626387,An RCT of Mycophenolate Mofetil (MMF) in Fibrotic Hypersensitivity Pneumonitis,Mycophenolate Mofetil and Prednisolone Versus Prednisolone Alone in Fibrotic Hypersensitivity Pneumonitis: a Randomized Controlled Trial,INTERVENTIONAL,PHASE4,ACTIVE_NOT_RECRUITING,2022-11-23,2026-10-23,Hypersensitivity Pneumonitis,DRUG: Mycophenolate Mofetil plus prednisolone; DRUG: Prednisolone,"Post Graduate Institute of Medical Education and Research, Chandigarh","""progressive pulmonary fibrosis""",https://clinicaltrials.gov/study/NCT05626387
NCT05635032,Fibrosing ILD Biomarkers That Rule Acceleration,Host-microbiome Interactions in the Quest for Fibrosing ILD Biomarkers That Rule Acceleration,OBSERVATIONAL,,UNKNOWN,2021-03-01,2026-03-31,Pulmonary Fibrosis; Sarcoidosis,OTHER: Comprehensive clinical assessment and biological samples collection,Universidade do Porto,"""progressive pulmonary fibrosis""; PF-ILD",https://clinicaltrials.gov/study/NCT05635032
NCT05747508,A Study to Assess Pulsed Inhaled Nitric Oxide in Subjects With Pulmonary Hypertension Associated With Pulmonary Fibrosis,"A Randomized, Double-Blind, Placebo-Controlled Dose Escalation Clinical Study to Assess the Safety and Efficacy of Pulsed Inhaled Nitric Oxide (iNO) in Subjects With Pulmonary Hypertension Associated With Pulmonary Fibrosis on Long Term Oxygen Therapy (Part 1 and Part 2)",INTERVENTIONAL,PHASE2,UNKNOWN,2017-12-29,2023-12,Pulmonary Fibrosis; Pulmonary Hypertension,COMBINATION_PRODUCT: INOpulse®; COMBINATION_PRODUCT: Placebo; COMBINATION_PRODUCT: Long Term Follow Up,Bellerophon,PF-ILD,https://clinicaltrials.gov/study/NCT05747508
NCT05771740,Pulmonary Fibrosis Lung Sounds Study,Feasibility Study for Gathering Lung Sound Recordings From Pulmonary Fibrosis Patients and Healthy Controls and Classifying Disease Status Using a Combination of Digital Sound Device and Machine Learning,OBSERVATIONAL,,UNKNOWN,2023-03,2023-12,Pulmonary Fibrosis; Healthy,DEVICE: Stemoscope (bluetooth sound amplifier),Royal Devon and Exeter NHS Foundation Trust,PF-ILD,https://clinicaltrials.gov/study/NCT05771740
NCT05785065,Mycophenolate Mofetil in Systemic Sclerosis With Subclinical Interstitial Lung Disease,Randomized Double-Blind Placebo-Controlled Clinical Trial to Assess the Efficacy of Mycophenolate Mofetil in Subclinical Interstitial Lung Disease Associated With Systemic Sclerosis: a Feasibility Study,INTERVENTIONAL,PHASE2,RECRUITING,2024-08-29,2028-12,Systemic Sclerosis With Lung Involvement; Systemic Sclerosis; Interstitial Lung Disease,DRUG: Mycophenolate Mofetil; OTHER: Placebo,Centre hospitalier de l'Université de Montréal (CHUM),"""progressive pulmonary fibrosis""",https://clinicaltrials.gov/study/NCT05785065
NCT05785624,A Study Evaluating the Efficacy and Safety of Vixarelimab in Participants With Idiopathic Pulmonary Fibrosis and in Participants With Systemic Sclerosis-Associated Interstitial Lung Disease,"A Two-Cohort, Phase II, Multicenter, Randomized, Double-Blind, Parallel-Group, Placebo-Controlled Study Evaluating the Efficacy and Safety of Vixarelimab Compared With Placebo in Patients With Idiopathic Pulmonary Fibrosis and in Patients With Systemic Sclerosis-Associated Interstitial Lung Disease",INTERVENTIONAL,PHASE2,TERMINATED,2023-05-26,2026-01-12,Idiopathic Pulmonary Fibrosis; Systemic Sclerosis With Lung Involvement,DRUG: Vixarelimab; DRUG: Placebo,"Genentech, Inc.",PF-ILD,https://clinicaltrials.gov/study/NCT05785624
NCT05799755,Myositis Interstitial Lung Disease Nintedanib Trial,"Nintedanib Plus Standard of Care Immunosuppression Versus Standard of Care Immunosuppression Alone in Patients With Progressive Fibrotic Myositis Associated - Interstitial Lung Disease: A Randomized, Double-Blind, Exploratory Trial",INTERVENTIONAL,PHASE4,COMPLETED,2023-08-01,2025-12-31,Myositis Associated Interstitial Lund Disease (MA-ILD),DRUG: Nintedanib; DRUG: Placebo; DRUG: Standard of Care,"Rohit Aggarwal, MD",PF-ILD,https://clinicaltrials.gov/study/NCT05799755
NCT05828953,Anlotinib Capsules in the Treatment for IPF/PF-ILDs,"A Multicenter, Randomized, Double-blind, Placebo-controlled Clinical Trial of Anlotinib Capsules for the Treatment of Idiopathic Pulmonary Fibrosis (IPF)/Progressive Fibrosis-interstitial Lung Disease (PF-ILDs)",INTERVENTIONAL,PHASE2,ACTIVE_NOT_RECRUITING,2021-09-28,2026-09-30,Interstitial Lung Diseases,DRUG: Anlotinib; DRUG: Placebo,First Affiliated Hospital of Wenzhou Medical University,PF-ILD,https://clinicaltrials.gov/study/NCT05828953
NCT05866198,Physical Activity and Quality of Life in Fibrotic Lung Diseases After Initiating Anti-fibrotic Therapy and Pulmonary Rehabilitation,Evaluation of Physical Activity and Quality of Life in Fibrotic Lung Diseases After Initiating Anti-fibrotic Therapy and Pulmonary Rehabilitation,INTERVENTIONAL,NA,UNKNOWN,2023-09-01,2026-05,"Lung Diseases, Interstitial",DIAGNOSTIC_TEST: Actigraph CP Insight Watch,University of South Florida,PF-ILD,https://clinicaltrials.gov/study/NCT05866198
